hidden,lr,lr_decay,activation,init_type,w_scale,est_CE,val_CE
30,0.01,0.0,logsig,gaussian,0.01,[0.03578125],0.035625
30,0.01,0.01,logsig,gaussian,0.01,[0.03328125],0.030625
30,0.01,0.05,logsig,gaussian,0.01,[0.04453125],0.046875
30,0.01,0.0,logsig,gaussian,0.1,[0.01984375],0.019375
30,0.01,0.01,logsig,gaussian,0.1,[0.03015625],0.0275
30,0.01,0.05,logsig,gaussian,0.1,[0.04625],0.050625
30,0.01,0.0,logsig,uniform,0.01,[0.0253125],0.02375
30,0.01,0.01,logsig,uniform,0.01,[0.02796875],0.03
30,0.01,0.05,logsig,uniform,0.01,[0.035625],0.035625
30,0.01,0.0,logsig,uniform,0.1,[0.0271875],0.0275
30,0.01,0.01,logsig,uniform,0.1,[0.0275],0.026875
30,0.01,0.05,logsig,uniform,0.1,[0.03484375],0.034375
30,0.01,0.0,logsig,sparse,0.01,[0.0403125],0.03625
30,0.01,0.01,logsig,sparse,0.01,[0.02359375],0.0225
30,0.01,0.05,logsig,sparse,0.01,[0.03953125],0.044375
30,0.01,0.0,logsig,sparse,0.1,[0.01921875],0.016875
30,0.01,0.01,logsig,sparse,0.1,[0.02109375],0.021875
30,0.01,0.05,logsig,sparse,0.1,[0.03875],0.039375
30,0.01,0.0,tanh,gaussian,0.01,[0.0284375],0.023125
30,0.01,0.01,tanh,gaussian,0.01,[0.03078125],0.023125
30,0.01,0.05,tanh,gaussian,0.01,[0.0390625],0.04
30,0.01,0.0,tanh,gaussian,0.1,[0.025625],0.025
30,0.01,0.01,tanh,gaussian,0.1,[0.0259375],0.024375
30,0.01,0.05,tanh,gaussian,0.1,[0.02828125],0.02625
30,0.01,0.0,tanh,uniform,0.01,[0.02765625],0.02375
30,0.01,0.01,tanh,uniform,0.01,[0.0365625],0.025625
30,0.01,0.05,tanh,uniform,0.01,[0.02015625],0.020625
30,0.01,0.0,tanh,uniform,0.1,[0.0340625],0.0225
30,0.01,0.01,tanh,uniform,0.1,[0.02375],0.018125
30,0.01,0.05,tanh,uniform,0.1,[0.026875],0.025
30,0.01,0.0,tanh,sparse,0.01,[0.025625],0.019375
30,0.01,0.01,tanh,sparse,0.01,[0.02734375],0.016875
